NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          1           1024             0.047 
2048          1           2048             0.100 
4096          1           4096             0.193 
8192          1           8192             0.382 
16384         1           16384            0.758 
32768         1           32768            1.556 
65536         1           65536            0.341 
131072        1           131072           0.777 
262144        1           262144           1.616 
524288        1           524288           3.262 
1048576       1           1048576          5.987 
2097152       1           2097152          10.583
4194304       1           4194304          19.326
8388608       1           8388608          37.197
