NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
4096          1           4096             0.196
4096          2           2048             0.180
4096          4           1024             0.188
4096          8           512              0.192
4096          32          128              0.188
4096          64          64               0.189
4096          128         32               0.191
4096          256         16               0.193
4096          512         8                0.193
4096          1024        4                0.199
