NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
131072        1           131072           0.729
131072        2           65536            0.801
131072        4           32768            0.790
131072        8           16384            0.755
131072        32          4096             0.778
131072        64          2048             0.780
131072        128         1024             0.773
131072        256         512              0.794
131072        512         256              0.798
131072        1024        128              0.791
