NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          4           256              0.047 
2048          4           512              0.093 
4096          4           1024             0.189 
8192          4           2048             0.380 
16384         4           4096             0.776 
32768         4           8192             1.559 
65536         4           16384            0.354 
131072        4           32768            0.796 
262144        4           65536            1.654 
524288        4           131072           3.288 
1048576       4           262144           5.828 
2097152       4           524288           10.508
4194304       4           1048576          18.883
8388608       4           2097152          35.106
