NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
32768         1           32768            1.500
32768         2           16384            1.542
32768         4           8192             1.482
32768         8           4096             1.486
32768         32          1024             1.479
32768         64          512              1.542
32768         128         256              1.555
32768         256         128              1.531
32768         512         64               1.547
32768         1024        32               1.560
