NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          2           512              0.048 
2048          2           1024             0.097 
4096          2           2048             0.197 
8192          2           4096             0.383 
16384         2           8192             0.764 
32768         2           16384            1.594 
65536         2           32768            0.360 
131072        2           65536            0.780 
262144        2           131072           1.619 
524288        2           262144           3.365 
1048576       2           524288           5.896 
2097152       2           1048576          10.961
4194304       2           2097152          19.365
8388608       2           4194304          34.100
