NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
262144        1           262144           1.699
262144        2           131072           1.763
262144        4           65536            1.633
262144        8           32768            1.666
262144        32          8192             1.686
262144        64          4096             1.617
262144        128         2048             1.660
262144        256         1024             1.638
262144        512         512              1.628
262144        1024        256              1.650
