NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
2097152       1           2097152          10.553
2097152       2           1048576          10.534
2097152       4           524288           10.339
2097152       8           262144           10.240
2097152       32          65536            10.470
2097152       64          32768            10.431
2097152       128         16384            10.510
2097152       256         8192             10.759
2097152       512         4096             8.132 
2097152       1024        2048             8.176 
