NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          1024        1                0.048 
2048          1024        2                0.091 
4096          1024        4                0.194 
8192          1024        8                0.385 
16384         1024        16               0.760 
32768         1024        32               1.536 
65536         1024        64               0.352 
131072        1024        128              0.780 
262144        1024        256              1.635 
524288        1024        512              3.261 
1048576       1024        1024             5.900 
2097152       1024        2048             10.378
4194304       1024        4096             18.713
8388608       1024        8192             33.942
