NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          8           128              0.049 
2048          8           256              0.094 
4096          8           512              0.189 
8192          8           1024             0.389 
16384         8           2048             0.774 
32768         8           4096             1.434 
65536         8           8192             0.359 
131072        8           16384            0.797 
262144        8           32768            1.631 
524288        8           65536            3.216 
1048576       8           131072           5.784 
2097152       8           262144           10.392
4194304       8           524288           18.325
8388608       8           1048576          34.860
