NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          4           256              0.046 
2048          4           512              0.096 
4096          4           1024             0.190 
8192          4           2048             0.362 
16384         4           4096             0.748 
32768         4           8192             1.545 
65536         4           16384            0.365 
131072        4           32768            0.817 
262144        4           65536            1.699 
524288        4           131072           3.298 
1048576       4           262144           5.363 
2097152       4           524288           10.556
4194304       4           1048576          18.659
8388608       4           2097152          33.601
