NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          64          16               0.048 
2048          64          32               0.099 
4096          64          64               0.191 
8192          64          128              0.390 
16384         64          256              0.801 
32768         64          512              1.548 
65536         64          1024             0.267 
131072        64          2048             0.842 
262144        64          4096             1.687 
524288        64          8192             3.249 
1048576       64          16384            5.703 
2097152       64          32768            10.683
4194304       64          65536            18.454
8388608       64          131072           34.536
