NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
2097152       1           2097152          10.476
2097152       2           1048576          10.231
2097152       4           524288           10.577
2097152       8           262144           10.760
2097152       32          65536            10.674
2097152       64          32768            10.149
2097152       128         16384            11.723
2097152       256         8192             10.691
2097152       512         4096             10.806
2097152       1024        2048             10.468
