NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1048576       1           1048576          5.924
1048576       2           524288           5.937
1048576       4           262144           5.813
1048576       8           131072           5.905
1048576       32          32768            5.936
1048576       64          16384            5.902
1048576       128         8192             5.706
1048576       256         4096             5.814
1048576       512         2048             6.062
1048576       1024        1024             4.766
