NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          1           1024             0.047 
2048          1           2048             0.099 
4096          1           4096             0.198 
8192          1           8192             0.390 
16384         1           16384            0.774 
32768         1           32768            1.525 
65536         1           65536            0.362 
131072        1           131072           0.779 
262144        1           262144           1.598 
524288        1           524288           3.240 
1048576       1           1048576          5.924 
2097152       1           2097152          10.427
4194304       1           4194304          18.568
8388608       1           8388608          34.589
