NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1048576       1           1048576          6.161
1048576       2           524288           5.684
1048576       4           262144           5.751
1048576       8           131072           6.028
1048576       32          32768            5.974
1048576       64          16384            6.067
1048576       128         8192             5.743
1048576       256         4096             5.942
1048576       512         2048             5.724
1048576       1024        1024             5.795
