NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
8192          1           8192             0.382
8192          2           4096             0.397
8192          4           2048             0.377
8192          8           1024             0.362
8192          32          256              0.375
8192          64          128              0.377
8192          128         64               0.403
8192          256         32               0.378
8192          512         16               0.381
8192          1024        8                0.385
