NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
4194304       1           4194304          18.964
4194304       2           2097152          19.039
4194304       4           1048576          19.338
4194304       8           524288           18.816
4194304       32          131072           19.359
4194304       64          65536            19.028
4194304       128         32768            19.108
4194304       256         16384            18.824
4194304       512         8192             19.708
4194304       1024        4096             18.501
