NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
8388608       1           8388608          33.895
8388608       2           4194304          33.643
8388608       4           2097152          34.425
8388608       8           1048576          34.181
8388608       32          262144           33.884
8388608       64          131072           34.120
8388608       128         65536            32.462
8388608       256         32768            33.635
8388608       512         16384            35.589
8388608       1024        8192             33.556
