NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
524288        1           524288           3.274
524288        2           262144           3.108
524288        4           131072           3.263
524288        8           65536            3.242
524288        32          16384            3.144
524288        64          8192             3.187
524288        128         4096             3.247
524288        256         2048             3.370
524288        512         1024             3.199
524288        1024        512              3.364
