NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          256         4                0.048 
2048          256         8                0.099 
4096          256         16               0.111 
8192          256         32               0.371 
16384         256         64               0.752 
32768         256         128              1.566 
65536         256         256              0.351 
131072        256         512              0.799 
262144        256         1024             1.668 
524288        256         2048             3.113 
1048576       256         4096             6.005 
2097152       256         8192             10.784
4194304       256         16384            18.551
8388608       256         32768            33.785
