NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          32          32               0.048 
2048          32          64               0.095 
4096          32          128              0.196 
8192          32          256              0.394 
16384         32          512              0.750 
32768         32          1024             1.576 
65536         32          2048             0.275 
131072        32          4096             0.801 
262144        32          8192             1.670 
524288        32          16384            3.222 
1048576       32          32768            5.745 
2097152       32          65536            10.195
4194304       32          131072           17.764
8388608       32          262144           28.870
