NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
16384         1           16384            0.728
16384         2           8192             0.754
16384         4           4096             0.765
16384         8           2048             0.758
16384         32          512              0.750
16384         64          256              0.794
16384         128         128              0.742
16384         256         64               0.776
16384         512         32               0.765
16384         1024        16               0.763
