NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          1           1024             0.048
1024          2           512              0.049
1024          4           256              0.047
1024          8           128              0.049
1024          32          32               0.049
1024          64          16               0.046
1024          128         8                0.047
1024          256         4                0.047
1024          512         2                0.047
1024          1024        1                0.048
