NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          256         4                0.049 
2048          256         8                0.096 
4096          256         16               0.133 
8192          256         32               0.351 
16384         256         64               0.771 
32768         256         128              1.502 
65536         256         256              0.410 
131072        256         512              0.792 
262144        256         1024             1.652 
524288        256         2048             3.407 
1048576       256         4096             6.110 
2097152       256         8192             9.284 
4194304       256         16384            19.557
8388608       256         32768            34.148
